Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
31	70.052635	49.385494	200.0	13.0	70.052635	32.88171	12.294584	47.93482	0.90250516	128000	-0.052329805	391.31873	-0.0015654676	-83.59921	0.6310609	7.948624e-05	116.95497536659241
32	72.545456	50.66927	192.0	16.0	72.545456	36.40446	13.035276	52.792194	-3.168205	132000	-0.06087081	334.1237	-0.0015373006	-16.74472	0.6335666	0.00013530422	120.369069814682
33	73.12963	46.6774	200.0	15.0	73.12963	37.79729	12.864783	54.319214	0.8332639	136000	-0.05793968	363.8171	-0.0011939742	-37.401978	0.62924343	-2.1772248e-05	123.82323861122131
34	74.320755	48.403484	200.0	13.0	74.320755	37.83393	10.96794	51.85507	0.9732294	140000	-0.05792616	346.83902	-0.001143679	-24.747955	0.6307451	9.258213e-05	127.26970219612122
35	70.92857	42.56166	200.0	18.0	70.92857	36.63509	13.419935	53.26771	1.1301603	144000	-0.0577282	298.93558	-0.0011577308	-30.492828	0.62550575	1.2360597e-05	130.78135228157043
36	92.06977	51.50814	200.0	19.0	92.06977	34.4438	12.729152	48.992317	0.17553198	148000	-0.047311682	404.18436	-0.0010636225	-74.00073	0.62186766	-0.00011614593	134.24212217330933
37	75.86539	48.943462	200.0	13.0	75.86539	39.50075	13.659043	53.90416	0.346031	152000	-0.06044642	357.13782	-0.001191169	-29.387268	0.6275856	6.761697e-05	137.53494882583618
38	82.604164	51.187458	200.0	12.0	82.604164	39.442097	12.090172	52.800503	0.7580982	156000	-0.06575267	302.69586	-0.001329653	-34.895874	0.62191355	-5.6330464e-05	140.25320434570312
39	88.333336	53.40579	200.0	20.0	88.333336	39.26907	14.549319	58.330566	1.3043792	160000	-0.050552204	415.97302	-0.0011099465	-90.8974	0.6181792	-9.084378e-05	142.9008650779724
40	104.02631	51.875095	200.0	29.0	104.02631	42.09739	13.387731	55.411873	1.9038391	164000	-0.055042043	306.8342	-0.001155816	-42.236115	0.61416715	-0.00014775519	146.78595852851868
41	104.0	52.02125	200.0	15.0	104.0	42.34746	15.415218	60.01674	4.05652	168000	-0.052296937	302.54874	-0.0010289289	-54.44536	0.6126973	-0.00018748925	150.27795815467834
42	75.71154	44.675472	200.0	20.0	75.71154	41.356354	16.012152	60.568134	2.4823558	172000	-0.064367734	350.3273	-0.0012662336	-51.385742	0.62187773	0.000106941254	153.78331923484802
43	99.65	51.964676	200.0	16.0	99.65	38.48265	12.077093	54.0608	1.8844645	176000	-0.06256378	356.19	-0.0011666566	-45.01776	0.6169043	-6.749775e-05	157.28084874153137
44	104.13158	47.084003	200.0	15.0	104.13158	42.216022	13.878601	58.05043	3.968564	180000	-0.056804642	300.72116	-0.0011543557	-38.53723	0.6154692	-3.563879e-06	160.85215282440186
45	91.441864	52.890984	200.0	11.0	91.441864	43.79873	14.041025	58.123936	6.379397	184000	-0.04814006	331.33856	-0.00106759	-40.27661	0.6188506	6.813914e-05	164.35813117027283
46	95.02381	44.968502	200.0	17.0	95.02381	42.70738	13.823571	58.75321	2.6691318	188000	-0.061267883	292.9774	-0.0012114607	-30.88507	0.61534536	6.194897e-05	167.85163640975952
47	99.15	51.722603	200.0	24.0	99.15	40.18261	14.212814	55.360146	0.21880731	192000	-0.058971513	330.08762	-0.0010971874	-39.476166	0.616687	8.854544e-05	171.27046847343445
48	110.88571	44.98302	200.0	29.0	110.88571	44.140194	13.043334	58.498306	0.6949118	196000	-0.054084275	289.99872	-0.0011262335	-30.223541	0.6089062	-8.4392354e-07	174.68054485321045
49	105.86487	55.59611	200.0	16.0	105.86487	43.431038	14.730596	59.62497	3.6667762	200000	-0.0599363	320.07336	-0.0012829378	-39.591797	0.60903955	-4.004772e-05	178.7313723564148
